3-harrison-ford
31-tom-hanks
39-sam-mendes
110-viggo-mortensen
112-cate-blanchett
138-quentin-tarantino
151-roger-deakins
223-alejandro-gonz-lez-i-rritu
224-david-cronenberg
287-brad-pitt
366-james-mangold
380-robert-de-niro
488-steven-spielberg
500-tom-cruise
508-david-koepp
514-jack-nicholson
517-pierce-brosnan
525-christopher-nolan
559-wally-pfister
569-ethan-hawke
578-ridley-scott
638-michael-mann
819-edward-norton
956-guy-ritchie
957-matthew-vaughn
976-jason-statham
1019-mads-mikkelsen
1032-martin-scorsese
1035-paul-schrader
1108-shane-black
1223-joel-coen
1224-ethan-coen
1461-george-clooney
1884-steven-soderbergh
1892-matt-damon
1893-casey-affleck
2034-danny-boyle
2036-alex-garland
2232-michael-keaton
2283-stanley-tucci
2299-josh-hartnett
2524-tom-hardy
2710-james-cameron
2950-robert-elswit
2963-nicolas-cage
3223-robert-downey-jr
3894-christian-bale
4762-paul-thomas-anderson
5010-todd-field
5602-david-lynch
5655-wes-anderson
6193-leonardo-dicaprio
6384-keanu-reeves
6431-darren-aronofsky
6807-sam-rockwell
6968-hugh-jackman
7467-david-fincher
8784-daniel-craig
9033-christopher-mcquarrie
9642-jude-law
10099-park-chan-wook
10859-ryan-reynolds
11218-alfonso-cuar-n
11694-doug-liman
13235-alexander-payne
14392-kathryn-bigelow
15009-justin-theroux
15218-james-gunn
17883-david-o-russell
18082-timothy-olyphant
19242-tony-gilroy
19498-jon-bernthal
20629-george-miller
21183-nicolas-winding-refn
21684-bong-joon-ho
25072-oscar-isaac
27428-aaron-taylor-johnson
28846-alexander-skarsg-rd
30614-ryan-gosling
30715-terrence-malick
33192-joel-edgerton
35796-craig-mazin
37618-andrew-dominik
40644-chad-stahelski
40684-david-leitch
52443-jason-reitman
54025-karyn-kusama
55493-brady-corbet
55499-scott-derrickson
56369-antonio-campos
56446-john-cena
57113-dan-gilroy
64295-alan-ritchson
67113-greig-fraser
72466-colin-farrell
73421-joaquin-phoenix
73968-henry-cavill
74401-hoyte-van-hoytema
74655-jeremy-saulnier
78160-luca-guadagnino
83002-jessica-chastain
83271-glen-powell
86270-joseph-kosinski
87257-cary-fukunaga
96172-sam-levinson
107446-phil-lord
115440-sydney-sweeney
119592-aubrey-plaza
122423-giorgos-lanthimos
129561-josh-safdie
136495-damien-chazelle
137427-denis-villeneuve
139098-derek-cianfrance
224513-ana-de-armas
227564-benny-safdie
234352-margot-robbie
527607-sean-durkin
543530-dave-bautista
550843-elizabeth-olsen
551463-mike-flanagan
556172-j-c-chandor
984629-christopher-abbott
1018106-s-craig-zahler
1023139-adam-driver
1023483-phoebe-waller-bridge
1081445-brandon-cronenberg
1094091-maika-monroe
1145520-ari-aster
1177335-caitlin-cronenberg
1180074-josh-mond
1199903-hiro-murai
1253360-pedro-pascal
1293994-jon-watts
1303037-taron-egerton
1317730-daniel-scheinert
1331284-greg-jardin
1360317-hong-chau
1373737-florence-pugh
1383612-daniel-kwan
1392137-margaret-qualley
1416383-jim-cummings
1545927-nicolas-pesce
1620987-cory-finley
1674162-jonathan-majors
2219327-rose-glass
